category,top_keys
政治,"[('台灣', 45), ('咖啡', 28), ('政府', 14), ('瓜地馬拉', 9), ('現金', 8), ('教友', 7), ('稅收', 7), ('中國', 6), ('瓜國', 6), ('傅崐萁', 6)]"
科技,"[('火箭', 9), ('星艦', 8), ('市場', 7), ('方案', 7), ('太空', 7), ('印度', 6), ('衛星', 6), ('企業', 5), ('雲達', 5), ('科技', 5)]"
運動,"[('月薪', 20), ('調幅', 13), ('球員', 10), ('兄弟', 10), ('投手', 9), ('野手', 8), ('合約', 8), ('球團', 8), ('春訓', 7), ('莊陳仲敖', 6)]"
全部,"[('台灣', 53), ('咖啡', 28), ('月薪', 20), ('政府', 14), ('調幅', 13), ('市場', 11), ('球員', 10), ('兄弟', 10), ('瓜地馬拉', 9), ('火箭', 9)]"
