category,top_keys
MLB,"[('球員', 262), ('投手', 202), ('球隊', 171), ('聯盟', 147), ('大聯盟', 145), ('遊戲', 135), ('比賽', 127), ('棒球', 119), ('玩家', 117), ('職棒', 99), ('安打', 94), ('打者', 93), ('道奇', 89), ('打擊', 88), ('機會', 84), ('時間', 80), ('合約', 79), ('洋基', 78), ('鄭宗哲', 72), ('生涯', 68), ('表現', 67), ('成績', 65), ('球迷', 64), ('牛棚', 62), ('日本', 62), ('戰力', 62), ('模式', 61), ('春訓', 61), ('數據', 60), ('運動', 54), ('能力', 53), ('全壘打', 52), ('台灣', 52), ('美國', 52), ('問題', 51), ('世界', 51), ('捕手', 49), ('教練', 49), ('樂趣', 48), ('任務', 48), ('系統', 46), ('對手', 40), ('佐佐木朗希', 39), ('陣容', 39), ('新秀', 39), ('好手', 38), ('球星', 38), ('大谷翔平', 36), ('聯賽', 36), ('二壘', 36), ('關鍵', 36), ('狀態', 34), ('球團', 34), ('季後賽', 34), ('實力', 34), ('情況', 33), ('冠軍', 33), ('運動家', 33), ('巨人隊', 33), ('光芒', 33), ('方式', 32), ('農場', 32), ('球棒', 32), ('隊友', 31), ('勝負', 31), ('結果', 31), ('方向', 31), ('交易', 30), ('洛杉磯', 29), ('經典', 29), ('方面', 28), ('特色', 28), ('俱樂部', 28), ('系列賽', 27), ('上述', 27), ('速度', 27), ('王建民', 27), ('外野', 27), ('天使', 27), ('紅襪', 27), ('整體', 26), ('團隊', 26), ('名單', 26), ('攻勢', 25), ('圖片', 25), ('經驗', 25), ('洋基隊', 25), ('心態', 24), ('來源', 24), ('費城人', 24), ('球速', 23), ('時期', 23), ('球場', 23), ('角色', 23), ('訓練', 23), ('位置', 23), ('紀錄', 23), ('速球', 22), ('市場', 22), ('重點', 22)]"
中職,"[('投手', 174), ('兄弟', 156), ('富邦', 152), ('安打', 128), ('成績', 111), ('比賽', 111), ('中信', 99), ('球隊', 98), ('打者', 97), ('詹子賢', 93), ('表現', 91), ('草皮', 90), ('手套', 88), ('悍將', 83), ('狀況', 80), ('美津濃', 80), ('機會', 75), ('問題', 73), ('熱身賽', 71), ('職棒', 66), ('台鋼', 66), ('選手', 65), ('中職', 64), ('棒球', 61), ('台灣', 61), ('球棒', 60), ('球員', 57), ('二壘', 56), ('外野', 54), ('聯盟', 53), ('三壘', 52), ('一軍', 49), ('生涯', 49), ('林立', 49), ('蘇智傑', 49), ('打擊', 46), ('二軍', 46), ('味全龍', 45), ('林泓育', 44), ('防禦率', 42), ('位置', 42), ('江坤宇', 42), ('人工', 42), ('纖維', 42), ('球迷', 40), ('牛棚', 40), ('樂天桃猿', 40), ('數據', 38), ('統一獅', 37), ('陳傑憲', 35), ('巨蛋', 34), ('本土', 33), ('運動', 33), ('棒球場', 32), ('戰力', 31), ('中華', 30), ('內容', 30), ('捕手', 29), ('教練', 29), ('狀態', 29), ('洋投', 29), ('新莊', 29), ('時候', 28), ('情況', 28), ('黃博多', 28), ('能力', 27), ('速球', 27), ('球速', 27), ('球場', 27), ('主場', 27), ('教練團', 26), ('影響', 26), ('直球', 26), ('時期', 26), ('工廠', 26), ('大學', 26), ('戰績', 25), ('整體', 25), ('內野', 25), ('過程', 25), ('環境', 25), ('陣容', 24), ('選秀', 24), ('原因', 24), ('富邦悍將', 24), ('張育成', 24), ('交易', 24), ('塑膠', 24), ('日本', 23), ('經驗', 23), ('時間', 23), ('德保拉', 23), ('春訓', 22), ('職業', 22), ('後援', 22), ('官辦', 22), ('效率', 22), ('打擊率', 21), ('樂天', 21), ('危機', 21)]"
日職,"[('日本', 280), ('安打', 238), ('投手', 205), ('比賽', 170), ('球隊', 146), ('聯盟', 135), ('打擊', 107), ('軟銀', 105), ('打數', 99), ('火腿', 93), ('球場', 89), ('球員', 88), ('打點', 83), ('打者', 82), ('巨人', 81), ('情況', 80), ('選手', 79), ('二軍', 73), ('太平洋', 68), ('機會', 68), ('生涯', 66), ('職棒', 66), ('全壘打', 65), ('捕手', 64), ('團隊', 63), ('成績', 61), ('打擊率', 58), ('日職', 57), ('西武獅', 57), ('方面', 57), ('一軍', 57), ('棒球', 55), ('來源', 54), ('火腿隊', 52), ('球迷', 50), ('防禦率', 50), ('壞球', 50), ('實力', 49), ('問題', 49), ('王牌', 49), ('牛棚', 49), ('日本隊', 46), ('外野', 43), ('戰力', 41), ('關鍵', 41), ('狀態', 41), ('系列賽', 41), ('廣島', 39), ('砂川', 39), ('影片', 38), ('表現', 38), ('直球', 35), ('熱身賽', 35), ('砂川理查', 35), ('勝投', 33), ('西武', 33), ('終場', 33), ('橫濱', 33), ('球團', 32), ('北海道', 31), ('位置', 31), ('媒體', 31), ('奧運', 30), ('戰術', 30), ('時間', 30), ('陣容', 29), ('隊友', 29), ('隊伍', 28), ('新庄', 28), ('官方', 28), ('世界', 27), ('福岡', 27), ('過程', 27), ('西川', 27), ('策略', 26), ('歐力士', 26), ('數據', 26), ('田中', 25), ('對手', 25), ('速度', 25), ('教練團', 24), ('主場', 24), ('運動', 24), ('紀錄', 24), ('近藤健介', 24), ('優勢', 24), ('羅德', 23), ('能力', 23), ('戰績', 23), ('好手', 23), ('賽事', 22), ('洋聯', 22), ('央聯', 22), ('巨蛋', 22), ('內容', 22), ('主力', 22), ('伊藤大海', 22), ('時期', 22), ('背號', 22), ('台灣', 21)]"
三級棒球,"[('棒球', 591), ('孩子', 253), ('運動', 252), ('球員', 245), ('教練', 221), ('球隊', 181), ('比賽', 142), ('能力', 138), ('訓練', 135), ('學校', 105), ('家長', 103), ('少棒', 103), ('鉑濬', 98), ('學生', 71), ('時間', 70), ('台灣', 69), ('社區', 68), ('校隊', 67), ('小朋友', 66), ('手套', 66), ('大學', 65), ('宋懿', 63), ('機會', 61), ('臺灣', 58), ('國小', 58), ('球場', 56), ('蔡袁華辰', 56), ('傷害', 54), ('日本', 53), ('團隊', 50), ('裝備', 48), ('教育', 47), ('職業', 46), ('朱盟', 45), ('目標', 44), ('活動', 44), ('生活', 44), ('棒球隊', 43), ('一壘', 43), ('高中', 42), ('聯賽', 42), ('事情', 42), ('費用', 40), ('冠軍', 40), ('職棒', 40), ('嘉義', 38), ('賽事', 37), ('地區', 37), ('大賽', 37), ('表現', 37), ('時期', 36), ('教授', 36), ('社會', 35), ('課程', 35), ('階段', 35), ('牛皮', 35), ('隊友', 35), ('肌力', 35), ('南華', 35), ('狀況', 34), ('老師', 34), ('捕手', 34), ('問題', 33), ('三壘', 33), ('棒球場', 32), ('選手', 32), ('計畫', 31), ('數量', 31), ('考試', 31), ('態度', 31), ('投手', 31), ('世界', 30), ('成績', 30), ('大專盃', 30), ('球迷', 29), ('高雄', 29), ('小學', 28), ('體育班', 28), ('資料', 28), ('產品', 28), ('穀保', 28), ('鶯歌', 28), ('原因', 27), ('印象', 26), ('聯盟', 26), ('文章', 25), ('價格', 25), ('地方', 25), ('我國', 25), ('工作', 25), ('觀念', 25), ('環境', 24), ('限制', 23), ('高三', 23), ('縣市', 22), ('情況', 22), ('年級', 22), ('賽場', 22), ('核心', 22), ('來源', 22)]"
全部,"[('棒球', 826), ('球員', 652), ('投手', 612), ('球隊', 596), ('比賽', 550), ('安打', 477), ('日本', 418), ('運動', 363), ('聯盟', 361), ('教練', 310), ('機會', 288), ('打者', 288), ('職棒', 271), ('成績', 267), ('打擊', 259), ('孩子', 254), ('能力', 241), ('表現', 233), ('問題', 206), ('台灣', 203), ('時間', 203), ('球場', 195), ('生涯', 190), ('選手', 189), ('球迷', 183), ('捕手', 176), ('大聯盟', 169), ('訓練', 167), ('情況', 163), ('手套', 161), ('兄弟', 160), ('狀況', 154), ('富邦', 154), ('團隊', 152), ('牛棚', 151), ('戰力', 142), ('全壘打', 136), ('遊戲', 136), ('數據', 136), ('外野', 134), ('二軍', 124), ('狀態', 121), ('三壘', 119), ('世界', 118), ('來源', 117), ('玩家', 117), ('隊友', 116), ('大學', 115), ('打數', 112), ('熱身賽', 110), ('位置', 108), ('一軍', 108), ('時期', 107), ('二壘', 107), ('合約', 107), ('實力', 107), ('學校', 107), ('方面', 106), ('防禦率', 106), ('春訓', 105), ('軟銀', 105), ('少棒', 104), ('家長', 103), ('中信', 102), ('打擊率', 101), ('職業', 100), ('球棒', 99), ('鉑濬', 98), ('打點', 97), ('道奇', 96), ('冠軍', 95), ('火腿', 95), ('陣容', 93), ('詹子賢', 93), ('草皮', 92), ('關鍵', 91), ('目標', 89), ('巨人', 89), ('臺灣', 89), ('悍將', 85), ('美國', 84), ('一壘', 83), ('聯賽', 82), ('球團', 82), ('王牌', 82), ('教練團', 82), ('原因', 81), ('美津濃', 81), ('過程', 80), ('對手', 79), ('洋基', 79), ('中職', 79), ('球速', 78), ('好手', 78), ('系列賽', 76), ('賽事', 76), ('學生', 76), ('日職', 75), ('棒球場', 75), ('內容', 74)]"
