category,top_keys
生活,"[('醫院', 26), ('護理', 8), ('星彩', 8), ('工會', 8), ('離島', 7), ('石崇良', 7), ('衛福部', 7), ('人員', 6), ('護理費', 6), ('號碼', 6), ('環境', 5), ('邱泰源', 5), ('病房', 4), ('病床', 4), ('共識', 4), ('調幅', 4), ('區域', 4), ('護理師', 4), ('趙麟宇', 4), ('健保署', 3), ('責任', 3), ('媒體', 3), ('指標', 3), ('醫學', 3), ('中心', 3), ('醫師', 3), ('診察費', 3), ('健保', 3), ('台灣', 3), ('獎金', 3), ('魄力', 3), ('標準', 2), ('總額', 2), ('新台幣', 2), ('衛生', 2), ('費用', 2), ('議事會', 2), ('地區', 2), ('人力', 2), ('案件', 2), ('手術', 2), ('保障', 2), ('規定', 2), ('派彩', 2), ('台彩', 2), ('部長', 2), ('代表', 2), ('制度', 2), ('工作', 2), ('林靜儀', 2), ('聯合會', 2), ('政策', 2), ('建議', 2), ('時間', 2), ('研商會', 1), ('福利部', 1), ('中央', 1), ('保險署', 1), ('健保署長', 1), ('提案', 1), ('健保會', 1), ('任務', 1), ('開床率', 1), ('石崇良說', 1), ('薪資', 1), ('患者', 1), ('定點數', 1), ('能力', 1), ('差異', 1), ('檢傷', 1), ('預算', 1), ('度級', 1), ('病人', 1), ('支出', 1), ('風險', 1), ('個案', 1), ('西醫基層', 1), ('自然', 1), ('產科', 1), ('點數', 1), ('微生物', 1), ('製劑', 1), ('品質', 1), ('計畫', 1), ('獎勵費', 1), ('比例', 1), ('管制師', 1), ('差異性', 1), ('一致性', 1), ('獎勵', 1), ('感控', 1), ('目的', 1), ('結果', 1), ('頭獎', 1), ('貳獎', 1), ('獎號', 1), ('內容', 1), ('公司', 1), ('今彩', 1), ('難題', 1)]"
國際,"[('英國', 40), ('關稅', 28), ('中國', 21), ('美方', 19), ('城市', 19), ('美國', 18), ('全球', 13), ('智慧', 13), ('措施', 11), ('川普', 10), ('鋼鐵', 10), ('國家', 10), ('英方', 8), ('貿易', 8), ('經濟', 7), ('協定', 7), ('政府', 7), ('產業', 6), ('加拿大', 6), ('作品', 6), ('非洲', 6), ('施凱爾', 5), ('當地', 5), ('致穎', 5), ('電纜', 5), ('關係', 4), ('議題', 4), ('商業', 4), ('關鍵', 4), ('產品', 4), ('雷諾茲', 4), ('柏林', 4), ('政治', 4), ('影響力', 4), ('模里西斯', 4), ('華府', 3), ('總統', 3), ('媒體', 3), ('資料', 3), ('價值', 3), ('戰略', 3), ('歐盟', 3), ('企業', 3), ('問題', 3), ('市場', 3), ('藝術', 3), ('影像', 3), ('地緣', 3), ('世界', 3), ('系統', 3), ('當地人', 3), ('科技', 3), ('技術', 3), ('首相', 2), ('國會', 2), ('行動', 2), ('期間', 2), ('記者會', 2), ('川普曾', 2), ('協議', 2), ('發言', 2), ('發言人', 2), ('方案', 2), ('貿易戰', 2), ('公會', 2), ('執行長', 2), ('史戴斯', 2), ('稅率', 2), ('新台幣', 2), ('本土', 2), ('應源', 2), ('莫瑞', 2), ('目標', 2), ('商品', 2), ('總理', 2), ('利益', 2), ('任期', 2), ('地區', 2), ('方式', 2), ('盟友', 2), ('製品', 2), ('趨勢', 2), ('行為', 2), ('產能', 2), ('需求', 2), ('銅鐘', 2), ('台灣', 2), ('德國', 2), ('印度', 2), ('通訊', 2), ('基礎', 2), ('中央社', 2), ('模式', 2), ('外交', 2), ('報告', 2), ('資訊', 2), ('大腦', 2), ('疑慮', 2), ('手機', 2), ('黑人', 2)]"
社會,"[('澎湖', 8), ('蘇男', 7), ('沈慶京', 6), ('車輛', 5), ('人員', 5), ('董桂珠', 5), ('男子', 4), ('許女', 4), ('地檢署', 4), ('收容人', 4), ('花嶼村', 4), ('村長', 4), ('罪嫌', 3), ('媒體', 3), ('友人', 3), ('看守所', 3), ('醫事', 3), ('陳姓', 3), ('屏東縣', 2), ('案件', 2), ('許姓', 2), ('女子', 2), ('蘇姓', 2), ('衝突', 2), ('警方', 2), ('東港', 2), ('1號', 2), ('堤頂', 2), ('路段', 2), ('火燒', 2), ('張姓', 2), ('異狀', 2), ('路肩', 2), ('警消', 2), ('台北', 2), ('室友', 2), ('北所', 2), ('行為', 2), ('地方', 2), ('法院', 2), ('身體', 2), ('紀錄', 2), ('賄選案', 2), ('當選人', 2), ('董姓', 2), ('東港鎮', 1), ('口角', 1), ('酒瓶', 1), ('殺人', 1), ('警局', 1), ('分局', 1), ('分局長', 1), ('黃飛文', 1), ('命案', 1), ('機制', 1), ('糾紛', 1), ('現場', 1), ('物品', 1), ('凶器', 1), ('朋友', 1), ('關係', 1), ('憾事', 1), ('屏東', 1), ('警分局', 1), ('民眾', 1), ('理性', 1), ('暴力', 1), ('手段', 1), ('社會', 1), ('秩序', 1), ('國道', 1), ('汐五高架', 1), ('事件', 1), ('汐五', 1), ('高架', 1), ('火勢', 1), ('地點', 1), ('張男', 1), ('警消到', 1), ('威京', 1), ('集團', 1), ('主席', 1), ('引流管', 1), ('京華城', 1), ('流管', 1), ('北院', 1), ('新聞稿', 1), ('看守', 1), ('醫囑', 1), ('醫事人員', 1), ('情形', 1), ('生活空間', 1), ('範疇', 1), ('護理', 1), ('居家', 1), ('事宜', 1), ('狀況', 1), ('望安鄉', 1), ('選罷法', 1), ('董女', 1)]"
文化,"[('台灣', 16), ('攝影', 14), ('國父', 14), ('作品', 12), ('博物館', 12), ('日本', 11), ('漫畫', 11), ('大都會', 11), ('左萱', 9), ('文化', 8), ('印象派', 8), ('國家', 7), ('美國', 7), ('漫畫家', 6), ('故事', 6), ('故宮', 6), ('活動', 5), ('紀念館', 5), ('成績', 5), ('中山', 5), ('芭蕉', 4), ('李逸洋', 4), ('大學', 4), ('青春', 4), ('中心', 4), ('記憶', 4), ('社會', 4), ('孫中山', 4), ('民眾', 4), ('思想', 4), ('藝術', 4), ('名作展', 4), ('主義', 4), ('國際', 3), ('典禮', 3), ('外務', 3), ('評審', 3), ('學生', 3), ('內容', 3), ('生活', 3), ('文化部', 3), ('作者', 3), ('時代', 3), ('學術', 3), ('特展', 3), ('書院', 3), ('紀錄簿', 3), ('解剖學', 3), ('雷曼', 3), ('土壤', 2), ('大臣', 2), ('委員長', 2), ('智子', 2), ('作家', 2), ('讀者', 2), ('台北', 2), ('史料', 2), ('時期', 2), ('校園', 2), ('中央社', 2), ('銅獎', 2), ('機會', 2), ('創作', 2), ('歷程', 2), ('夢想', 2), ('意義', 2), ('地方', 2), ('力量', 2), ('馬立群', 2), ('台北館', 2), ('影像宴', 2), ('新聞', 2), ('觀眾', 2), ('陳冠霖', 2), ('楊佳馨', 2), ('李明憲', 2), ('王莉婷', 2), ('經驗', 2), ('空間', 2), ('研討會', 2), ('香港', 2), ('西醫', 2), ('生理學', 2), ('藥物學', 2), ('政治', 2), ('國民黨', 2), ('共鳴', 2), ('文物', 2), ('科目', 2), ('現場', 2), ('基金會', 2), ('名作', 2), ('外務省', 1), ('銀獎', 1), ('飯倉', 1), ('公館', 1), ('岩屋毅', 1), ('藤井比早', 1), ('中滿', 1), ('獎座', 1)]"
兩岸,"[('新聞', 12), ('中國', 11), ('中共', 9), ('台灣', 8), ('趙樂際', 8), ('中央', 6), ('企業', 6), ('大陸', 5), ('思想', 5), ('自由', 5), ('央視', 5), ('陸委會', 4), ('代表', 4), ('大會', 4), ('蔡崇信', 4), ('座談會', 4), ('常委會', 3), ('工作者', 3), ('單位', 3), ('阿里巴巴', 3), ('教育局', 3), ('學校', 3), ('國台辦', 2), ('藝人', 2), ('統戰', 2), ('言論', 2), ('資格', 2), ('社會', 2), ('言論自由', 2), ('國家', 2), ('陳斌華', 2), ('人大', 2), ('報導', 2), ('會議', 2), ('活動', 2), ('北京', 2), ('人民', 2), ('政治', 2), ('經濟', 2), ('制度', 2), ('故事', 2), ('政治局', 2), ('委員', 2), ('論壇', 2), ('信心', 2), ('基礎', 2), ('設施', 2), ('力量', 2), ('人工', 2), ('智慧', 2), ('規模', 2), ('負責人', 2), ('香港', 2), ('港府', 2), ('師生', 2), ('腸胃炎', 2), ('交流團', 2), ('韶關', 2), ('情況', 2), ('公民科', 2), ('委員會', 1), ('書面', 1), ('經貿', 1), ('教育', 1), ('文化', 1), ('輿論', 1), ('人權', 1), ('政府', 1), ('利益', 1), ('全民', 1), ('心防', 1), ('措施', 1), ('國務院', 1), ('事務', 1), ('辦公室', 1), ('記者會', 1), ('大陸國台辦', 1), ('發言人', 1), ('民眾', 1), ('劉姓', 1), ('女子', 1), ('社群', 1), ('帳號', 1), ('亞在', 1), ('武統言論', 1), ('內政部', 1), ('移民署', 1), ('台依', 1), ('立場', 1), ('聲音', 1), ('網紅八炯', 1), ('宵小之輩', 1), ('委員長', 1), ('官媒', 1), ('謠言', 1), ('期間', 1), ('呼吸道', 1), ('聯播', 1), ('鏡頭', 1), ('畫面', 1)]"
全部,"[('英國', 40), ('中國', 32), ('台灣', 30), ('關稅', 28), ('醫院', 26), ('美國', 26), ('城市', 20), ('美方', 19), ('國家', 19), ('作品', 18), ('智慧', 15), ('攝影', 14), ('新聞', 14), ('國父', 14), ('措施', 13), ('全球', 13), ('人員', 12), ('博物館', 12), ('日本', 11), ('漫畫', 11), ('大都會', 11), ('媒體', 10), ('川普', 10), ('鋼鐵', 10), ('護理', 9), ('工會', 9), ('經濟', 9), ('企業', 9), ('左萱', 9), ('文化', 9), ('思想', 9), ('中共', 9), ('星彩', 8), ('英方', 8), ('政府', 8), ('貿易', 8), ('政治', 8), ('活動', 8), ('澎湖', 8), ('故事', 8), ('印象派', 8), ('趙樂際', 8), ('離島', 7), ('中央', 7), ('石崇良', 7), ('中心', 7), ('代表', 7), ('衛福部', 7), ('協定', 7), ('產業', 7), ('藝術', 7), ('民眾', 7), ('蘇男', 7), ('社會', 7), ('護理費', 6), ('環境', 6), ('號碼', 6), ('內容', 6), ('加拿大', 6), ('非洲', 6), ('沈慶京', 6), ('漫畫家', 6), ('故宮', 6), ('邱泰源', 5), ('施凱爾', 5), ('期間', 5), ('關係', 5), ('議題', 5), ('當地', 5), ('致穎', 5), ('電纜', 5), ('車輛', 5), ('董桂珠', 5), ('紀念館', 5), ('成績', 5), ('中山', 5), ('大陸', 5), ('自由', 5), ('央視', 5), ('新台幣', 4), ('衛生', 4), ('病房', 4), ('病床', 4), ('共識', 4), ('醫學', 4), ('調幅', 4), ('區域', 4), ('地區', 4), ('案件', 4), ('護理師', 4), ('制度', 4), ('趙麟宇', 4), ('問題', 4), ('商業', 4), ('資料', 4), ('關鍵', 4), ('產品', 4), ('雷諾茲', 4), ('國際', 4), ('行為', 4)]"
