category,top_keys
學術股市,"[('中國', 259), ('美國', 224), ('關稅', 128), ('台灣', 75), ('經濟', 75), ('市場', 69), ('川普', 56), ('國家', 54), ('貿易', 45), ('產業', 35), ('政府', 35), ('原文', 34), ('政策', 34), ('全球', 33), ('時間', 28), ('公司', 28), ('問題', 28), ('風險', 26), ('標題', 25), ('台積電', 23), ('內容', 22), ('企業', 22), ('總統', 22), ('世界', 21), ('產品', 21), ('消費', 21), ('交易', 21), ('晶片', 20), ('技術', 19), ('記者', 16), ('半導體', 16), ('商品', 16), ('處分', 16), ('商業', 15), ('歐洲', 15), ('協議', 14), ('影響', 14), ('政治', 14), ('國際', 14), ('疫苗', 14), ('心得', 13), ('科技', 13), ('壓力', 13), ('證券', 13), ('策略', 13), ('產能', 12), ('位置', 12), ('情況', 12), ('利益', 12), ('比例', 12), ('金額', 12), ('貿易戰', 12), ('股票', 12), ('程度', 11), ('整體', 11), ('方式', 11), ('韓國', 11), ('措施', 11), ('機會', 11), ('劉鏡清', 11), ('財政', 11), ('彭双浪', 11), ('資產', 10), ('日本', 10), ('關鍵', 10), ('來源', 10), ('內文', 10), ('歐盟', 10), ('訂單', 10), ('文章', 10), ('國光', 10), ('腸病毒', 10), ('結果', 9), ('內需', 9), ('價格', 9), ('條件', 9), ('能力', 9), ('資本', 9), ('工廠', 9), ('魷魚', 9), ('東西', 9), ('逆差', 8), ('汽車', 8), ('態度', 8), ('局勢', 8), ('手段', 8), ('商務部', 8), ('新聞', 8), ('股市', 8), ('網址', 8), ('日期', 8), ('損失', 8), ('信心', 8), ('北京', 8), ('代表', 8), ('投資', 8), ('板規', 8), ('看板', 8), ('國債', 8), ('資料', 7)]"
綜合,"[('新聞', 96), ('文章', 73), ('板主', 53), ('中國', 47), ('水桶', 47), ('台灣', 39), ('帳號', 34), ('內容', 33), ('八卦', 32), ('神韻', 30), ('納粹', 25), ('板規', 24), ('標題', 23), ('中共', 22), ('醫院', 21), ('美國', 20), ('媒體', 20), ('政府', 20), ('記者', 17), ('事件', 17), ('福清市', 16), ('政治', 15), ('德國', 14), ('分類', 14), ('規範', 14), ('精神病', 14), ('吐瓦魯', 14), ('爆卦', 13), ('世界', 12), ('方式', 12), ('演出', 11), ('文化', 11), ('地方', 11), ('問題', 11), ('民進黨', 11), ('銀行', 11), ('高雄', 10), ('波特王', 10), ('公司', 10), ('額度', 10), ('行為', 10), ('國民黨', 10), ('內文', 9), ('邱議瑩', 9), ('情況', 9), ('藝術家', 8), ('精神', 8), ('舞蹈', 8), ('東西', 8), ('網址', 8), ('影片', 8), ('規定', 8), ('手機', 8), ('新聞網', 8), ('朱立倫', 8), ('來源', 7), ('台灣人', 7), ('演員', 7), ('國家', 7), ('推文', 7), ('人物', 7), ('特稿', 7), ('違者', 7), ('時間', 7), ('狀況', 7), ('精華區', 7), ('台北', 7), ('比特犬', 7), ('藝術團', 6), ('節目', 6), ('警方', 6), ('情事', 6), ('議題', 6), ('處分', 6), ('政黨', 6), ('結果', 6), ('回報日', 6), ('娛樂', 6), ('捷運', 6), ('旅客', 6), ('共諜', 6), ('民眾', 6), ('歌劇院', 5), ('社會', 5), ('法輪功', 5), ('人民', 5), ('中華', 5), ('事情', 5), ('大陸', 5), ('日本', 5), ('女子', 5), ('網路', 5), ('惡意', 5), ('鬧板', 5), ('原因', 5), ('情形', 5), ('上述', 5), ('國際', 5), ('警告', 5), ('公告', 5)]"
閒談,"[('板主', 61), ('水桶', 53), ('文章', 50), ('活動', 26), ('內容', 25), ('人員', 21), ('回文', 21), ('作品', 20), ('規定', 20), ('時間', 16), ('板規', 16), ('板務', 16), ('本板', 16), ('議題', 15), ('結果', 14), ('角色', 14), ('板友', 14), ('看板', 13), ('時候', 12), ('動畫', 12), ('聲優', 12), ('青山', 12), ('魔女', 12), ('決議', 12), ('漫畫', 11), ('社群', 9), ('羽香里', 9), ('遊戲', 8), ('感覺', 8), ('長谷川', 8), ('官方', 8), ('英雄', 8), ('人物', 8), ('偶像', 8), ('意象', 8), ('老闆', 8), ('環節', 7), ('世界', 7), ('作者', 7), ('內文', 7), ('事務', 7), ('風氣', 7), ('政治', 7), ('當事人', 7), ('影片', 6), ('情報', 6), ('日本', 6), ('故事', 6), ('原因', 6), ('爭議', 6), ('行為', 6), ('期間', 6), ('消息', 6), ('魅力', 5), ('富野', 5), ('台詞', 5), ('小說', 5), ('程度', 5), ('要素', 5), ('情況', 5), ('中華民國', 5), ('分類', 5), ('案件', 5), ('隊伍', 5), ('同學', 5), ('老師', 5), ('頭像', 5), ('問題', 5), ('壓力', 5), ('訊息', 5), ('奈葉', 5), ('電腦', 4), ('精神', 4), ('名單', 4), ('庵野', 4), ('先生', 4), ('時代劇', 4), ('話題', 4), ('簡介', 4), ('興趣', 4), ('電影', 4), ('女主', 4), ('秩序', 4), ('權責', 4), ('政策', 4), ('選舉', 4), ('檢舉人', 4), ('小時', 4), ('情事', 4), ('關鍵', 4), ('原則', 4), ('忍者', 4), ('治療師', 4), ('帳號', 4), ('網絡', 4), ('漢堡', 4), ('機器人', 4), ('彈珠', 4), ('阿音', 4), ('傳說', 4)]"
棒球,"[('體育', 34), ('投手', 26), ('徐若熙', 24), ('比賽', 22), ('緯來', 22), ('主場', 21), ('文章', 20), ('巨蛋', 20), ('板主', 19), ('職棒', 18), ('台灣', 18), ('巨人', 18), ('記者', 17), ('球迷', 17), ('兄弟', 15), ('台北', 15), ('富邦', 15), ('呂詠臻', 15), ('樂天', 14), ('例行賽', 14), ('蔣少宏', 14), ('選手', 13), ('味全龍', 13), ('狀況', 13), ('標題', 13), ('新聞', 13), ('教士', 13), ('賽事', 13), ('安打', 12), ('機會', 12), ('海盜', 12), ('味全', 12), ('票房', 12), ('中信', 11), ('情況', 11), ('球隊', 11), ('葉君璋', 11), ('球場', 11), ('日本', 11), ('教練', 10), ('打擊', 10), ('勇士', 10), ('           (', 10), ('外野', 9), ('辦法', 9), ('廖健富', 9), ('球員', 9), ('洋基', 9), ('太空人', 9), ('台鋼', 9), ('一軍', 8), ('棒球', 8), ('板規', 8), ('名單', 8), ('國民', 8), ('紐約', 8), ('芝加哥', 8), ('          (', 8), ('李凱威', 8), ('人數', 8), ('表現', 7), ('隊友', 7), ('一壘', 7), ('中職', 7), ('內容', 7), ('中華', 7), ('    －    ', 7), ('遊騎兵', 7), ('棒球場', 7), ('付費)', 7), ('二軍', 7), ('打席', 7), ('亞瑞納多', 7), ('情緒', 6), ('問題', 6), ('處分', 6), ('活動', 6), ('東森', 6), ('光芒', 6), ('洛磯', 6), ('天使', 6), ('基層', 6), ('紅雀', 6), ('大都會', 6), ('   －    ', 6), ('門票', 6), ('三壘', 6), ('郭泰源', 6), ('張志豪', 6), ('張育成', 6), ('廣島', 6), ('主力', 5), ('文字', 5), ('消息', 5), ('情報', 5), ('規定', 5), ('祭品文', 5), ('水桶', 5), ('洋片', 5), ('波士頓', 5)]"
軍事,"[('烏克蘭', 122), ('美國', 109), ('川普', 74), ('俄羅斯', 71), ('政府', 54), ('俄軍', 48), ('中國', 46), ('戰爭', 45), ('軍事', 38), ('人員', 33), ('國家', 33), ('國防部', 32), ('系統', 32), ('飛彈', 31), ('總統', 31), ('部隊', 27), ('無人機', 27), ('計畫', 27), ('媒體', 26), ('俄國', 25), ('台灣', 25), ('歐洲', 24), ('官兵', 21), ('澤倫斯基', 21), ('新聞', 20), ('原文', 18), ('國軍', 18), ('武器', 18), ('官員', 18), ('協議', 18), ('內容', 17), ('國防', 17), ('印尼', 17), ('烏軍', 17), ('士官', 17), ('記者', 16), ('顧立雄', 16), ('人機', 16), ('影片', 16), ('中共', 16), ('情況', 15), ('法國', 15), ('問題', 15), ('士兵', 15), ('預算', 15), ('機密', 15), ('來源', 14), ('人數', 14), ('訓練', 14), ('陸軍', 14), ('國際', 14), ('歐盟', 14), ('國務院', 14), ('白宮', 14), ('目標', 14), ('以色列', 13), ('伊朗', 13), ('美軍', 13), ('單位', 13), ('地區', 13), ('能力', 13), ('政策', 12), ('英國', 12), ('北約', 12), ('情報', 12), ('組織', 12), ('前線', 12), ('裝備', 11), ('軍隊', 11), ('軍人', 11), ('戰場', 11), ('世界', 11), ('行動', 11), ('方式', 11), ('資訊', 11), ('俄烏', 11), ('基輔', 11), ('關係', 11), ('戰機', 11), ('憲兵隊', 11), ('總統府', 10), ('憲兵', 10), ('資料', 10), ('公司', 10), ('士林', 10), ('中國人', 10), ('摘要', 9), ('心得', 9), ('戰略', 9), ('人士', 9), ('車輛', 9), ('時間', 9), ('軍方', 9), ('萬斯', 9), ('快艇', 9), ('狀況', 8), ('感想', 8), ('消息', 8), ('師資', 8), ('德國', 8)]"
全部,"[('美國', 356), ('中國', 353), ('文章', 160), ('台灣', 158), ('板主', 148), ('新聞', 139), ('川普', 134), ('關稅', 133), ('烏克蘭', 124), ('水桶', 119), ('政府', 110), ('內容', 104), ('國家', 98), ('經濟', 81), ('市場', 72), ('俄羅斯', 71), ('標題', 69), ('記者', 66), ('問題', 65), ('時間', 63), ('板規', 63), ('人員', 59), ('總統', 55), ('原文', 54), ('情況', 52), ('世界', 51), ('媒體', 51), ('戰爭', 51), ('政策', 50), ('公司', 49), ('貿易', 48), ('俄軍', 48), ('帳號', 47), ('政治', 46), ('產業', 42), ('中共', 42), ('活動', 41), ('日本', 40), ('全球', 40), ('方式', 39), ('歐洲', 39), ('軍事', 38), ('系統', 37), ('規定', 36), ('國際', 35), ('計畫', 34), ('體育', 34), ('協議', 33), ('結果', 33), ('來源', 33), ('內文', 33), ('狀況', 33), ('八卦', 33), ('風險', 32), ('交易', 32), ('影片', 32), ('國防部', 32), ('企業', 31), ('飛彈', 31), ('神韻', 30), ('台北', 29), ('處分', 29), ('看板', 29), ('事件', 28), ('機會', 28), ('德國', 28), ('技術', 27), ('能力', 27), ('時候', 27), ('分類', 27), ('本板', 27), ('部隊', 27), ('無人機', 27), ('心得', 26), ('消息', 26), ('歐盟', 26), ('東西', 26), ('投手', 26), ('資訊', 25), ('網址', 25), ('規範', 25), ('納粹', 25), ('回文', 25), ('人數', 25), ('俄國', 25), ('台積電', 24), ('資料', 24), ('地方', 24), ('情報', 24), ('議題', 24), ('徐若熙', 24), ('影響', 23), ('科技', 23), ('官員', 23), ('行為', 23), ('板友', 23), ('比賽', 23), ('目標', 22), ('晶片', 22), ('角色', 22)]"
